 .10000000E+02  .28000000E+02  .00000000E+00  .14000000E+02  .17000000E+02  .70908650E+04
 .31882640E+03  .64884440E+03  .21086980E+07  .12578940E+06 -.36997830E+00  .39595450E+06
 .34026940E+03  .64874710E+03  .20723650E+07  .12610160E+06 -.39572610E+00  .33961650E+06
 .36311550E+03  .64861890E+03  .20360380E+07  .12850810E+06 -.41971130E+00  .23100420E+06
 .38719180E+03  .64841120E+03  .19997210E+07  .13390850E+06 -.43909900E+00  .13338520E+06
 .41214320E+03  .64803950E+03  .19634190E+07  .14343500E+06 -.45040370E+00  .73804740E+05
 .43743750E+03  .64738380E+03  .19271460E+07  .15818060E+06 -.45111970E+00  .43066230E+05
 .46247710E+03  .64631510E+03  .18909200E+07  .17931520E+06 -.44206280E+00  .27540320E+05
 .48687440E+03  .64472340E+03  .18547680E+07  .21336750E+06 -.42890280E+00  .19184190E+05
 .51048870E+03  .64253390E+03  .18187220E+07  .26013560E+06 -.41426910E+00  .14386080E+05
 .53323790E+03  .63972360E+03  .17828160E+07  .31551960E+06 -.39771400E+00  .11510250E+05
 .53323790E+03  .63972360E+03  .17828160E+07  .31551960E+06 -.39771400E+00  .11510250E+05
 .58824350E+03  .62965160E+03  .16875750E+07  .42268320E+06 -.32793590E+00  .83477740E+04
 .63302750E+03  .61750700E+03  .15942260E+07  .56440710E+06 -.28471390E+00  .69407380E+04
 .67331260E+03  .60339470E+03  .15026410E+07  .72337830E+06 -.25341460E+00  .61175630E+04
 .70928760E+03  .58806920E+03  .14132690E+07  .88641560E+06 -.22692030E+00  .55874950E+04
 .74157240E+03  .57194400E+03  .13262600E+07  .10532180E+07 -.20411330E+00  .52283590E+04
 .77067990E+03  .55534650E+03  .12417090E+07  .12208500E+07 -.18447120E+00  .49747300E+04
 .79704530E+03  .53852450E+03  .11596670E+07  .13850100E+07 -.16745930E+00  .47886490E+04
 .82102270E+03  .52166110E+03  .10801540E+07  .15417890E+07 -.15255020E+00  .46478540E+04
 .84289350E+03  .50489230E+03  .10031640E+07  .16885960E+07 -.13930790E+00  .45389790E+04
 .86288200E+03  .48831980E+03  .92867590E+06  .18241790E+07 -.12740780E+00  .44534860E+04
 .88117100E+03  .47201920E+03  .85665430E+06  .19482050E+07 -.11661380E+00  .43854980E+04
 .89791240E+03  .45604570E+03  .78705380E+06  .20607730E+07 -.10674540E+00  .43307810E+04
 .91323350E+03  .44043910E+03  .71982220E+06  .21620780E+07 -.97654390E-01  .42863110E+04
 .92724110E+03  .42522690E+03  .65490230E+06  .22522140E+07 -.89211180E-01  .42500020E+04
 .94002340E+03  .41042830E+03  .59223340E+06  .23310820E+07 -.81299890E-01  .42204660E+04
 .95165240E+03  .39605620E+03  .53175250E+06  .23983340E+07 -.73816340E-01  .41967350E+04
 .96218510E+03  .38211850E+03  .47339480E+06  .24533240E+07 -.66666690E-01  .41780090E+04
 .97166480E+03  .36861880E+03  .41709500E+06  .24950430E+07 -.59764850E-01  .41634590E+04
 .98012280E+03  .35555660E+03  .36278730E+06  .25220470E+07 -.53029720E-01  .41521680E+04
 .98757820E+03  .34292720E+03  .31040640E+06  .25324050E+07 -.46385730E-01  .41432150E+04
 .99404000E+03  .33072310E+03  .25988790E+06  .25237250E+07 -.39772750E-01  .41358770E+04
 .99950970E+03  .31893440E+03  .21116870E+06  .24931490E+07 -.33151060E-01  .41296270E+04
 .10039820E+04  .30754970E+03  .16418730E+06  .24373280E+07 -.26447940E-01  .41237830E+04
 .10074290E+04  .29655600E+03  .11888420E+06  .23530660E+07 -.19442050E-01  .41177190E+04
 .10097770E+04  .28593970E+03  .75201670E+05  .22394520E+07 -.11679710E-01  .41116590E+04
 .10108570E+04  .27568960E+03  .33083990E+05  .21009180E+07 -.23852980E-02  .41066740E+04
 .10103520E+04  .26579840E+03 -.75231490E+04  .19505650E+07  .97377810E-02  .41047870E+04
 .31882640E+03  .64884440E+03  .21086980E+07  .12578940E+06 -.36997830E+00  .39595450E+06
 .29883270E+03  .64893800E+03  .21450360E+07  .12697440E+06 -.34415410E+00  .36657500E+06
 .28026710E+03  .64905010E+03  .21813790E+07  .12930510E+06 -.31906320E+00  .28132340E+06
 .26307740E+03  .64920590E+03  .22177300E+07  .13258440E+06 -.29505330E+00  .19378720E+06
 .24719790E+03  .64943680E+03  .22540920E+07  .13669440E+06 -.27228830E+00  .12972260E+06
 .23255580E+03  .64977940E+03  .22904690E+07  .14154780E+06 -.25087390E+00  .88480700E+05
 .21907330E+03  .65027240E+03  .23268700E+07  .14706330E+06 -.23089010E+00  .62643010E+05
 .20666850E+03  .65095470E+03  .23633030E+07  .15315630E+06 -.21238660E+00  .46181770E+05
 .19525810E+03  .65186290E+03  .23997810E+07  .15973770E+06 -.19537340E+00  .35343160E+05
 .18475940E+03  .65303120E+03  .24363170E+07  .16671660E+06 -.17981850E+00  .27939140E+05
 .17509250E+03  .65449070E+03  .24729260E+07  .17400590E+06 -.16565350E+00  .22697970E+05
 .16618210E+03  .65626980E+03  .25096250E+07  .18152850E+06 -.15278380E+00  .18865340E+05
 .15795860E+03  .65839540E+03  .25464340E+07  .18922640E+06 -.14110080E+00  .15980970E+05
 .15035870E+03  .66089230E+03  .25833730E+07  .19707140E+06 -.13049260E+00  .13755250E+05
 .15035870E+03  .66089230E+03  .25833730E+07  .19707140E+06 -.13049260E+00  .13755250E+05
 .13588590E+03  .66770320E+03  .26630180E+07  .21464090E+06 -.11171380E+00  .10112960E+05
 .12342670E+03  .67666170E+03  .27436580E+07  .23618260E+06 -.96547770E-01  .80632460E+04
 .11259270E+03  .68800150E+03  .28255120E+07  .26018800E+06 -.84432340E-01  .65077030E+04
 .10308130E+03  .70217290E+03  .29088920E+07  .28586630E+06 -.74371400E-01  .53624440E+04
 .94687190E+02  .71950930E+03  .29941600E+07  .31255960E+06 -.65730530E-01  .45482260E+04
 .87262890E+02  .74016000E+03  .30817070E+07  .33976200E+06 -.58173660E-01  .39796320E+04
 .80687280E+02  .76414130E+03  .31719320E+07  .36722460E+06 -.51574140E-01  .35760710E+04
 .74849500E+02  .79143970E+03  .32652340E+07  .39495580E+06 -.45862280E-01  .32803630E+04
 .69649210E+02  .82202950E+03  .33620090E+07  .42300360E+06 -.40927830E-01  .30622310E+04
 .65000920E+02  .85582020E+03  .34626490E+07  .45133970E+06 -.36642080E-01  .29061470E+04
 .60833260E+02  .89263730E+03  .35675270E+07  .47990580E+06 -.32903880E-01  .27997170E+04
 .57084770E+02  .93227090E+03  .36769940E+07  .50868860E+06 -.29646750E-01  .27301310E+04
 .53700810E+02  .97454130E+03  .37913770E+07  .53773860E+06 -.26820440E-01  .26856360E+04
 .50632580E+02  .10193340E+04  .39109850E+07  .56714910E+06 -.24376160E-01  .26572630E+04
 .47837250E+02  .10665990E+04  .40361160E+07  .59703360E+06 -.22263870E-01  .26390710E+04
 .45277910E+02  .11163380E+04  .41670680E+07  .62751480E+06 -.20435330E-01  .26274200E+04
 .10000000E+02  .28000000E+02  .00000000E+00  .14000000E+02  .17000000E+02  .70908650E+04
 .31890580E+03  .64888070E+03  .21087290E+07  .12584270E+06 -.36998400E+00  .38681070E+06
 .34034870E+03  .64878130E+03  .20723940E+07  .12616270E+06 -.39571210E+00  .33257230E+06
