"SCDLBG_ID";"SCDLBG_LINE_0";"SCDLBG_LINE_1";"SCDLBG_LINE_2";"SCDLBG_LINE_3";"SCDLBG_ZONE_0";"SCDLBG_ZONE_1";"SCDLBG_ZONE_2";"SCDLBG_ZONE_3";"SCDLBG_ZONE_4";"SCDLBG_ZONE_5";"SCDLBG_ZONE_6";"SCDLBG_ZONE_7";"SCDLBG_ZONE_8";"SCDLBG_ZONE_9";"SCDLBG_ZONE_10";"SCDLBG_ZONE_11";"SCDLBG_ZONE_12";"SCDLBG_ZONE_13";"SCDLBG_ZONE_14";"SCDLBG_ZONE_15";"SCDLBG_ZONE_16";"SCDLBG_ZONE_17";"SCDLBG_ZONE_18";"SCDLBG_ZONE_19";"SCDLBG_ZONE_20";"SCDLBG_ZONE_21";"SCDLBG_ZONE_22";"SCDLBG_ZONE_23";"SCDLBG_ZONE_24";"SCDLBG_ZONE_25";"SCDLBG_ZONE_26";"SCDLBG_ZONE_27";"SCDLBG_ZONE_28";"SCDLBG_ZONE_29";"SCDLBG_ZONE_30";"SCDLBG_ZONE_31"
4;8;3;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0
2;1;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0
3;8;3;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
